Date,Apple,Tesla,Amazon,Visa,Microsoft
2015-01-02 00:00:00-05:00,24.26104736328125,14.620667457580566,15.425999641418457,61.462486267089844,39.93305587768555
2015-01-05 00:00:00-05:00,23.577577590942383,14.005999565124512,15.10949993133545,60.10576248168945,39.56584167480469
2015-01-06 00:00:00-05:00,23.579795837402344,14.085332870483398,14.76449966430664,59.718475341796875,38.985107421875
2015-01-07 00:00:00-05:00,23.910429000854492,14.063332557678223,14.920999526977539,60.51858901977539,39.48044204711914
2015-01-08 00:00:00-05:00,24.82912826538086,14.041333198547363,15.02299976348877,61.330284118652344,40.64188003540039
2015-01-09 00:00:00-05:00,24.85575294494629,13.77733325958252,14.846500396728516,60.421173095703125,40.30027770996094
2015-01-12 00:00:00-05:00,24.243295669555664,13.480667114257812,14.570500373840332,60.30290222167969,39.79641342163086
2015-01-13 00:00:00-05:00,24.458538055419922,13.616666793823242,14.737000465393066,60.47914505004883,39.591461181640625
2015-01-14 00:00:00-05:00,24.36534309387207,12.845999717712402,14.66349983215332,59.268550872802734,39.24985122680664
2015-01-15 00:00:00-05:00,23.704063415527344,12.791333198547363,14.34749984741211,58.704994201660156,38.839935302734375
2015-01-16 00:00:00-05:00,23.519882202148438,12.871333122253418,14.536999702453613,59.12708282470703,39.48897933959961
2015-01-20 00:00:00-05:00,24.125686645507812,12.795332908630371,14.472000122070312,59.56540298461914,39.6170768737793
2015-01-21 00:00:00-05:00,24.30986785888672,13.104666709899902,14.862500190734863,59.667449951171875,39.215702056884766
2015-01-22 00:00:00-05:00,24.942296981811523,13.441332817077637,15.515999794006348,59.74166488647461,40.24904251098633
2015-01-23 00:00:00-05:00,25.07100486755371,13.419333457946777,15.619500160217285,59.901668548583984,40.29172897338867
2015-01-26 00:00:00-05:00,25.097627639770508,13.770000457763672,15.482999801635742,59.49350357055664,40.14655685424805
2015-01-27 00:00:00-05:00,24.2188777923584,13.732000350952148,15.337499618530273,58.20869445800781,36.43165588378906
2015-01-28 00:00:00-05:00,25.58804702758789,13.291333198547363,15.195500373840332,57.134925842285156,35.176265716552734
2015-01-29 00:00:00-05:00,26.384693145751953,13.680000305175781,15.58899974822998,57.5152587890625,35.87654113769531
2015-01-30 00:00:00-05:00,25.998577117919922,13.573332786560059,17.726499557495117,59.11780548095703,34.501617431640625
2015-02-02 00:00:00-05:00,26.32477569580078,14.062666893005371,18.223499298095703,59.217525482177734,35.25313949584961
2015-02-03 00:00:00-05:00,26.329214096069336,14.557332992553711,18.177499771118164,60.24955749511719,35.52640914916992
2015-02-04 00:00:00-05:00,26.53114891052246,14.569999694824219,18.237499237060547,61.43234634399414,35.731388092041016
2015-02-05 00:00:00-05:00,26.72052001953125,14.732666969299316,18.694499969482422,63.03486251831055,36.2523193359375
2015-02-06 00:00:00-05:00,26.49550437927246,14.490667343139648,18.714000701904297,62.01907730102539,36.2181510925293
2015-02-09 00:00:00-05:00,26.67150115966797,14.498666763305664,18.527999877929688,61.564544677734375,36.17546081542969
2015-02-10 00:00:00-05:00,27.183902740478516,14.419333457946777,18.649999618530273,61.35348129272461,36.380409240722656
2015-02-11 00:00:00-05:00,27.821063995361328,14.186667442321777,18.756999969482422,61.79954528808594,36.19253158569336
2015-02-12 00:00:00-05:00,28.173057556152344,13.525333404541016,18.85849952697754,62.94265365600586,36.798866271972656
2015-02-13 00:00:00-05:00,28.311185836791992,13.584667205810547,19.09149932861328,62.64525604248047,37.46499252319336
2015-02-17 00:00:00-05:00,28.478269577026367,13.623332977294922,18.771499633789062,62.93338394165039,37.482200622558594
2015-02-18 00:00:00-05:00,28.67654800415039,13.630666732788086,18.668500900268555,62.52678680419922,37.43918991088867
2015-02-19 00:00:00-05:00,28.616392135620117,14.11400032043457,18.950000762939453,62.52214813232422,37.41339111328125
2015-02-20 00:00:00-05:00,28.850318908691406,14.473999977111816,19.183000564575195,63.428260803222656,37.7230224609375
2015-02-23 00:00:00-05:00,29.630050659179688,13.822667121887207,19.006999969482422,63.43059158325195,37.97243118286133
2015-02-24 00:00:00-05:00,29.445154190063477,13.607333183288574,18.929500579833984,63.30509948730469,37.92082977294922
2015-02-25 00:00:00-05:00,28.692140579223633,13.583999633789062,19.26849937438965,63.43059158325195,37.834842681884766
2015-02-26 00:00:00-05:00,29.055267333984375,13.812666893005371,19.239999771118164,63.60251235961914,37.895015716552734
2015-02-27 00:00:00-05:00,28.618621826171875,13.555999755859375,19.007999420166016,63.035614013671875,37.71441650390625
2015-03-02 00:00:00-05:00,28.75897216796875,13.155332565307617,19.283000946044922,64.6573257446289,37.7402229309082
2015-03-03 00:00:00-05:00,28.819128036499023,13.303999900817871,19.230499267578125,63.962646484375,37.224178314208984
2015-03-04 00:00:00-05:00,28.636432647705078,13.496000289916992,19.13599967956543,63.60251235961914,37.034950256347656
2015-03-05 00:00:00-05:00,28.161922454833984,13.375332832336426,19.39150047302246,63.690792083740234,37.077972412109375
2015-03-06 00:00:00-05:00,28.204242706298828,12.925333023071289,19.004499435424805,62.577884674072266,36.43289566040039
2015-03-09 00:00:00-04:00,28.324542999267578,12.725333213806152,18.92799949645996,63.061153411865234,36.85433578491211
2015-03-10 00:00:00-04:00,27.738628387451172,12.687999725341797,18.475500106811523,61.61602783203125,36.149070739746094
2015-03-11 00:00:00-04:00,27.232913970947266,12.916000366210938,18.318500518798828,61.511470794677734,36.10607147216797
2015-03-12 00:00:00-04:00,27.725265502929688,12.73799991607666,18.711999893188477,62.6336555480957,35.28040313720703
